SamAccountName,Password,Path,Department,UserPrincipalName,GivenName,initials,Surname,Name,Displayname,Office,OfficePhone,Email,StreetAddress,City,State,PostalCode,Country,Title,Company
Ebony.Kelly,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Ebony.Kelly@PGIT.com,Ebony,B,Kelly,Ebony Kelly,Ebony Kelly,Marketing Office,580-305-2429,Ebony.Kelly@PGIT.com,4818 Luke Lane,Tulsa,OK,74120,US,Marketing Coordinator,Active Directory Pro
Karen.Spies,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Karen.Spies@PGIT.com,Karen,J,Spies,Karen Spies,Karen Spies,Marketing Office,715-787-6608,Karen.Spies@PGIT.com,450 Tea Berry Lane,Gresham,WI,54128,US,Marketing Coordinator,Active Directory Pro
Robert.Slade,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Robert.Slade@PGIT.com,Robert,L,Slade,Robert Slade,Robert Slade,Marketing Office,812-472-0040,Robert.Slade@PGIT.com,2404 Lucy Lane,Fredericksburg,IN,47120,US,Marketing Coordinator,Active Directory Pro
Adam.Anderson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Adam.Anderson@PGIT.com,Adam,A,Anderson,Adam Anderson,Adam Anderson,Marketing Office,781-847-9355,Adam.Anderson@PGIT.com,678 Hillcrest Avenue,Boston,MA,2210,US,Marketing Coordinator,Active Directory Pro
Debbie.Alexander,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Debbie.Alexander@PGIT.com,Debbie,K,Alexander,Debbie Alexander,Debbie Alexander,Marketing Office,712-279-0390,Debbie.Alexander@PGIT.com,2360 Woodland Drive,Sioux City,IA,51101,US,Marketing Coordinator,Active Directory Pro
Aimee.Delk,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Aimee.Delk@PGIT.com,Aimee,P,Delk,Aimee Delk,Aimee Delk,Marketing Office,720-621-1477,Aimee.Delk@PGIT.com,3600 Clay Lick Road,Denver,CO,80239,US,Marketing Coordinator,Active Directory Pro
Edward.Gordon,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Edward.Gordon@PGIT.com,Edward,A,Gordon,Edward Gordon,Edward Gordon,Marketing Office,937-848-5461,Edward.Gordon@PGIT.com,760 Crim Lane,Bellbrook,OH,45305,US,Marketing Coordinator,Active Directory Pro
Joe.Sims,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Joe.Sims@PGIT.com,Joe,B,Sims,Joe Sims,Joe Sims,Marketing Office,317-554-4675,Joe.Sims@PGIT.com,4793 Barfield Lane,Indianapolis,IN,46225,US,Marketing Coordinator,Active Directory Pro
John.Teague,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,John.Teague@PGIT.com,John,S,Teague,John Teague,John Teague,Marketing Office,660-287-1168,John.Teague@PGIT.com,2853 Fairmont Avenue,Kansas City,MO,64106,US,Marketing Coordinator,Active Directory Pro
Ramona.Quintana,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Ramona.Quintana@PGIT.com,Ramona,R,Quintana,Ramona Quintana,Ramona Quintana,Marketing Office,810-610-4129,Ramona.Quintana@PGIT.com,4070 Perry Street,Detroit,MI,48226,US,Marketing Coordinator,Active Directory Pro
Cory.Wilson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Cory.Wilson@PGIT.com,Cory,J,Wilson,Cory Wilson,Cory Wilson,Marketing Office,225-362-5827,Cory.Wilson@PGIT.com,1809 Washburn Street,Baton Rouge,LA,70814,US,Marketing Coordinator,Active Directory Pro
Clarence.Olson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Clarence.Olson@PGIT.com,Clarence,J,Olson,Clarence Olson,Clarence Olson,Marketing Office,859-685-3689,Clarence.Olson@PGIT.com,4571 Mayo Street,Lexington,KY,40507,US,Marketing Coordinator,Active Directory Pro
Jill.Glass,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jill.Glass@PGIT.com,Jill,C,Glass,Jill Glass,Jill Glass,Marketing Office,256-438-9841,Jill.Glass@PGIT.com,4204 Turnpike Drive,Birmingham,AL,35222,US,Marketing Coordinator,Active Directory Pro
Jason.Muir,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jason.Muir@PGIT.com,Jason,S,Muir,Jason Muir,Jason Muir,Marketing Office,610-766-9858,Jason.Muir@PGIT.com,3051 Lyndon Street,Philadelphia,PA,19146,US,Marketing Coordinator,Active Directory Pro
Christopher.Sisco,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Christopher.Sisco@PGIT.com,Christopher,D,Sisco,Christopher Sisco,Christopher Sisco,Marketing Office,574-248-2831,Christopher.Sisco@PGIT.com,618 Sharon Lane,Plymouth,IN,46563,US,Marketing Coordinator,Active Directory Pro
Samuel.Thomas,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Samuel.Thomas@PGIT.com,Samuel,M,Thomas,Samuel Thomas,Samuel Thomas,Marketing Office,770-578-7561,Samuel.Thomas@PGIT.com,4128 Lakeland Park Drive,Marietta,GA,30062,US,Marketing Coordinator,Active Directory Pro
Nigel.Caldwell,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Nigel.Caldwell@PGIT.com,Nigel,E,Caldwell,Nigel Caldwell,Nigel Caldwell,Marketing Office,201-829-2373,Nigel.Caldwell@PGIT.com,2296 Lakewood Drive,Secaucus,NJ,7094,US,Marketing Coordinator,Active Directory Pro
Donna.Holleran,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Donna.Holleran@PGIT.com,Donna,C,Holleran,Donna Holleran,Donna Holleran,Marketing Office,814-487-9372,Donna.Holleran@PGIT.com,3487 Stutler Lane,Beaverdale,PA,15952,US,Marketing Coordinator,Active Directory Pro
William.Magill,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,William.Magill@PGIT.com,William,D,Magill,William Magill,William Magill,Marketing Office,417-859-8831,William.Magill@PGIT.com,2519 Briarwood Road,Marshfield,MO,65706,US,Marketing Coordinator,Active Directory Pro
Nicole.Benson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Nicole.Benson@PGIT.com,Nicole,C,Benson,Nicole Benson,Nicole Benson,Marketing Office,865-281-6474,Nicole.Benson@PGIT.com,3315 Wiseman Street,Knoxville,TN,37918,US,Marketing Coordinator,Active Directory Pro
Louise.Quinn,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Louise.Quinn@PGIT.com,Louise,J,Quinn,Louise Quinn,Louise Quinn,Marketing Office,703-820-9799,Louise.Quinn@PGIT.com,2466 Perine Street,Arlington,VA,22206,US,Marketing Coordinator,Active Directory Pro
Elaine.Thompson,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Elaine.Thompson@PGIT.com,Elaine,D,Thompson,Elaine Thompson,Elaine Thompson,Marketing Office,954-438-4960,Elaine.Thompson@PGIT.com,2132 West Fork Drive,Hollywood,FL,33024,US,Marketing Coordinator,Active Directory Pro
Paul.Gonzalez,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Paul.Gonzalez@PGIT.com,Paul,S,Gonzalez,Paul Gonzalez,Paul Gonzalez,Marketing Office,502-827-3609,Paul.Gonzalez@PGIT.com,4354 Karen Lane,Radcliff,KY,40180,US,Marketing Coordinator,Active Directory Pro
Jesus.Basile,Football22!,"OU=Marketing,OU=PGIT Users,DC=PGIT,DC=local",Marketing,Jesus.Basile@PGIT.com,Jesus,L,Basile,Jesus Basile,Jesus Basile,Marketing Office,813-713-5503,Jesus.Basile@PGIT.com,4221 Saints Alley,Polk City,FL,33868,US,Marketing Coordinator,Active Directory Pro
